Date,State,Confirmed Cases,Cases on Admission,Discharged Cases,Deaths
6/22/2020,Cross River,0,0,0,0
6/22/2020,Lagos,8864,7290,1448,126
6/22/2020,Federal Capital Territory,1583,1063,490,30
6/22/2020,Kano,1190,421,718,51
6/22/2020,Oyo,988,688,291,9
6/22/2020,Rivers,930,490,409,31
6/22/2020,Edo,797,524,242,31
6/22/2020,Ogun,663,281,366,16
6/22/2020,Kaduna,600,282,308,10
6/22/2020,Delta,532,382,130,20
6/22/2020,Gombe,479,215,250,14
6/22/2020,Borno,476,78,367,31
6/22/2020,Bauchi,467,132,324,11
6/22/2020,Katsina,434,173,239,22
6/22/2020,Jigawa,317,120,191,6
6/22/2020,Ebonyi,264,41,222,1
6/22/2020,Plateau,253,116,131,6
6/22/2020,Imo,243,219,21,3
6/22/2020,Abia,232,136,93,3
6/22/2020,Kwara,200,72,122,6
6/22/2020,Nasarawa,193,93,94,6
6/22/2020,Bayelsa,177,137,29,11
6/22/2020,Ondo,154,81,56,17
6/22/2020,Enugu,144,110,29,5
6/22/2020,Sokoto,138,8,116,14
6/22/2020,Zamfara,76,0,71,5
6/22/2020,Kebbi,67,21,40,6
6/22/2020,Anambra,66,6,51,9
6/22/2020,Niger,66,26,37,3
6/22/2020,Akwa Ibom,65,20,43,2
6/22/2020,Osun,60,9,46,5
6/22/2020,Yobe,56,3,45,8
6/22/2020,Adamawa,45,3,37,5
6/22/2020,Benue,44,29,15,0
6/22/2020,Ekiti,35,5,28,2
6/22/2020,Taraba,18,8,10,0
6/22/2020,Kogi,3,3,0,0
7/1/2020,Cross River,0,0,0,0
7/1/2020,Lagos,10630,8891,1610,129
7/1/2020,Federal Capital Territory,1935,1313,588,34
7/1/2020,Oyo,1391,676,703,12
7/1/2020,Kano,1257,247,958,52
7/1/2020,Edo,1165,707,418,40
7/1/2020,Delta,1131,918,190,23
7/1/2020,Rivers,1088,402,648,38
7/1/2020,Ogun,869,241,609,19
7/1/2020,Kaduna,805,241,552,12
7/1/2020,Katsina,578,270,285,23
7/1/2020,Gombe,507,125,363,19
7/1/2020,Bauchi,505,32,461,12
7/1/2020,Borno,493,29,432,32
7/1/2020,Ebonyi,438,78,357,3
7/1/2020,Plateau,382,175,197,10
7/1/2020,Imo,352,296,50,6
7/1/2020,Enugu,327,192,126,9
7/1/2020,Ondo,325,196,110,19
7/1/2020,Abia,320,110,207,3
7/1/2020,Jigawa,318,1,308,9
7/1/2020,Kwara,235,91,135,9
7/1/2020,Bayelsa,234,114,105,15
7/1/2020,Nasarawa,213,92,113,8
7/1/2020,Sokoto,151,17,119,15
